province,tc,biomass,co2,year
Indonesia,744917,179.6,329.27,2001
Indonesia,856270,201.96,370.26,2002
Indonesia,545528,129.82,238.01,2003
Indonesia,1291467,299.21,548.56,2004
Indonesia,1183802,271.99,498.66,2005
Indonesia,1434724,321.21,588.88,2006
Indonesia,1389495,302.03,553.71,2007
Indonesia,1398066,314.67,576.89,2008
Indonesia,1947257,434.22,796.08,2009
Indonesia,1280641,294.13,539.23,2010
Indonesia,1545060,355.29,651.37,2011
Indonesia,2262504,508.36,931.99,2012
Indonesia,1140308,262.22,480.74,2013
Indonesia,1896006,416.17,762.98,2014
Indonesia,1747954,386.32,708.26,2015
Indonesia,2424326,508.15,931.61,2016
Indonesia,1301946,279.22,511.91,2017
Indonesia,1219663,261.83,480.02,2018
Aceh,18291,4.48,8.21,2001
Aceh,10970,2.76,5.06,2002
Aceh,11824,3.2,5.87,2003
Aceh,19175,4.32,7.92,2004
Aceh,26531,5.52,10.12,2005
Aceh,21323,5.07,9.3,2006
Aceh,24197,5.83,10.69,2007
Aceh,36772,8.99,16.48,2008
Aceh,69173,15.9,29.14,2009
Aceh,40811,9.51,17.44,2010
Aceh,47530,10.8,19.81,2011
Aceh,49480,11.16,20.47,2012
Aceh,41432,9.02,16.54,2013
Aceh,58626,13.1,24.01,2014
Aceh,34018,7.94,14.55,2015
Aceh,50134,11.27,20.67,2016
Aceh,45866,10.28,18.85,2017
Aceh,46162,10.48,19.22,2018
Bali,424,0.11,0.2,2001
Bali,313,0.08,0.14,2002
Bali,180,0.05,0.09,2003
Bali,372,0.09,0.16,2004
Bali,237,0.06,0.11,2005
Bali,515,0.13,0.23,2006
Bali,505,0.12,0.22,2007
Bali,231,0.06,0.11,2008
Bali,375,0.09,0.17,2009
Bali,199,0.05,0.09,2010
Bali,217,0.05,0.1,2011
Bali,747,0.17,0.32,2012
Bali,396,0.07,0.13,2013
Bali,909,0.18,0.32,2014
Bali,133,0.03,0.05,2015
Bali,156,0.04,0.07,2016
Bali,264,0.06,0.1,2017
Bali,304,0.08,0.14,2018
Bangka Belitung,13918,2.82,5.18,2001
Bangka Belitung,11253,2.2,4.04,2002
Bangka Belitung,7126,1.35,2.47,2003
Bangka Belitung,21993,4.4,8.08,2004
Bangka Belitung,19865,3.78,6.93,2005
Bangka Belitung,20256,4.03,7.4,2006
Bangka Belitung,23249,4.4,8.07,2007
Bangka Belitung,22702,4.16,7.62,2008
Bangka Belitung,63955,11.76,21.56,2009
Bangka Belitung,23209,4.3,7.88,2010
Bangka Belitung,32417,5.8,10.63,2011
Bangka Belitung,39473,7.12,13.06,2012
Bangka Belitung,17586,3.21,5.88,2013
Bangka Belitung,41287,7.21,13.22,2014
Bangka Belitung,41312,7.08,12.97,2015
Bangka Belitung,58238,9.34,17.13,2016
Bangka Belitung,25572,4.42,8.1,2017
Bangka Belitung,22440,3.66,6.72,2018
Banten,1056,0.25,0.45,2001
Banten,1762,0.41,0.75,2002
Banten,293,0.07,0.12,2003
Banten,1406,0.32,0.59,2004
Banten,546,0.12,0.23,2005
Banten,1940,0.4,0.73,2006
Banten,1063,0.23,0.41,2007
Banten,929,0.2,0.37,2008
Banten,2755,0.62,1.13,2009
Banten,1634,0.36,0.66,2010
Banten,2329,0.48,0.88,2011
Banten,3288,0.74,1.35,2012
Banten,1830,0.37,0.68,2013
Banten,2276,0.46,0.85,2014
