2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
12604,20503,11743,19150,14740,21322,21151,15567,23149,25708,23171,46735,38030,58811,82081,83109,49647,34794
2886,2676,1721,4565,2038,2486,1993,2734,1954,1145,2329,3121,1542,7151,4437,4030,6206,8155
3505,8029,2810,6954,4246,5258,4333,1796,11272,1570,2983,3932,5938,10362,13305,10923,7876,8016
15956,15866,13433,41637,16428,44411,9989,8706,30117,7635,22967,23063,15499,39743,43568,38476,27155,24226
82,32,9,71,15,61,21,27,25,141,173,55,27,57,42,66,108,139
2684,1902,793,3581,1703,3480,2910,2659,3056,1325,4511,2452,1184,2889,1810,2291,3465,2578
1056,1762,293,1406,546,1940,1063,929,2755,1634,2329,3288,1830,2276,2664,1972,3497,3400
4237,4064,2917,6485,2828,5752,4436,4005,4289,1654,5861,8334,2754,6781,2906,3190,4716,4294
7356,23417,10042,12050,6423,16123,5356,4965,13493,6074,5749,9022,6784,17989,45469,26875,10598,12381
4546,14615,4314,7384,5617,12439,4466,2944,13447,4403,9409,11395,4680,15253,49006,27649,7344,11203
18982,24341,18430,41920,25429,54062,29622,18724,60524,26238,48320,66894,35990,66431,73472,65880,37516,37607
77994,96934,56009,113988,104665,131013,132196,202817,288805,152617,262635,312716,199623,291728,267982,286580,181487,159429
8497,12741,5990,17855,8581,13902,9539,8138,23409,8411,14404,16146,9012,21492,28100,30919,24074,19462
4,0,0,1,0,4,1,1,0,2,4,1,0,0,0,0,1,0
6807,3858,1983,3661,2326,5248,3056,5119,2889,2635,5425,3755,2568,3765,3507,3663,5652,4513
12604,20503,11743,19150,14740,21322,21151,15567,23149,25708,23171,46735,38030,58811,82081,83109,49647,34794
4727,4613,3849,4694,5057,6993,5036,4454,5921,1783,7821,4658,2107,9180,7426,7373,10359,5186
424,313,180,372,237,515,505,231,375,199,217,747,396,909,133,156,264,304
156639,154715,57283,270849,355676,202347,212218,204754,248216,342330,255514,347031,156487,283009,90868,147229,123810,101210
17561,33203,20149,40190,18088,30665,20367,16747,52473,21992,26216,37199,28532,46803,92014,74331,36981,37565
73147,81107,53674,107934,90711,152425,152743,145025,263360,137263,223992,316219,179440,270630,231763,352728,168120,184517
4527,7695,2913,6852,3477,4903,4284,1611,7010,2042,3123,2677,1719,6890,15613,8810,5793,7470
6089,14781,7258,12251,7094,11069,6656,7898,14445,11702,11553,13574,7912,17939,42519,26848,15907,20543
54425,39801,37546,72506,74653,66846,52515,65795,121245,93501,100695,89443,53354,85638,53129,79430,74692,66314
13918,11253,7126,21993,19865,20256,23249,22702,63955,23209,32417,39473,17586,41287,41312,58238,25572,22440
15038,15401,9853,26569,29307,32748,31722,34068,40593,22997,42639,36599,22477,30603,22544,39228,51568,37433
64137,103000,129231,169993,158690,222054,291881,204786,194527,142435,139444,219047,103352,197358,213987,493304,102961,110423
59112,66042,30731,102281,87490,170515,174139,189442,201671,120316,132477,361721,101083,159704,169195,275974,124778,125584
46983,45176,21651,98274,71349,119967,119806,124832,126069,36729,48972,152627,66812,77526,60769,157474,86318,70059
10365,9381,4996,10542,9341,14063,15605,16188,23167,14112,16788,30374,5155,11376,14153,16281,11775,10352
14211,10434,8112,26004,13153,23604,17596,22373,18773,16026,24577,27787,14164,20339,20222,24405,27270,24649
18291,10970,11824,19175,26531,21323,24197,36772,69173,40811,47530,49480,41432,58626,34018,50134,45866,46162
